Company,Type,Size,Price
0,1,1,5.99
0,1,2,7.99
0,1,3,9.99
0,1,2,7.99
0,1,1,5.99
0,1,2,7.99
0,1,3,9.99
0,1,3,9.99
0,1,4,11.99
0,1,1,8.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,2,15.49
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,2,15.49
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,2,15.49
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
3,1,2,8.49
3,1,3,10.49
3,1,0,4.29
3,1,2,8.49
3,1,3,10.49
3,1,2,8.49
3,1,3,10.49
3,1,3,12.49
3,1,3,10.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,13.49
3,2,3,16.49
3,2,0,5.29
3,2,2,13.49
3,2,3,16.49
3,2,2,13.49
3,2,3,16.49
3,2,3,18.49
3,2,3,16.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,13.49
3,2,3,16.49
3,2,0,5.29
3,2,2,13.49
3,2,3,16.49
3,2,2,13.49
3,2,3,16.49
3,2,3,18.49
3,2,3,16.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,5,3,15.49
3,5,3,15.49
3,5,3,15.49
3,5,3,15.49
3,5,3,15.49
3,6,1,9.99
1,1,0,4.99
1,1,1,10.99
1,1,2,12.99
